,bill_id,chamber,created_at,id,session,state,subjects,title,type,updated_at
0,HCR 1,lower,2018-01-17 08:08:14,UTB00006251,2018,UT,Environmental; Resolutions; Legislative Affairs,H.C.R. 1 Concurrent Resolution on Climate Change,concurrent resolution,2018-02-14 08:42:05
1,HB 993,lower,2018-02-07 05:57:30,MDB00030961,2018,MD,Labor and Employment,Maryland Pension Climate Change Risk Act,bill,2018-02-13 06:29:50
2,SB 3068,upper,2018-02-08 17:02:35,HIB00031027,2018 Regular Session,HI,Other; Municipal and County Issues,RELATING TO CLIMATE CHANGE.,bill,2018-02-13 10:39:23
3,HB 1144,lower,2017-01-13 08:36:11,WAB00012085,2017-2018,WA,Environmental,Amending state greenhouse gas emission limits for consistency with the most recent assessment of climate change science.,bill,2018-02-14 12:58:05
4,HB 1715,lower,2018-02-07 10:32:16,HIB00030892,2018 Regular Session,HI,,RELATING TO CLIMATE CHANGE.,bill,2018-02-09 10:32:32
5,HCM 2009,lower,2018-02-06 08:29:21,AZB00013503,53rd-2nd-regular,AZ,,climate change.,concurrent memorial,2018-02-09 08:29:32
6,S 1821,upper,2017-01-21 06:40:53,MAB00022153,190th,MA,,An Act combating climate change,bill,2018-02-09 09:44:09
7,SB 2017,upper,2018-02-07 10:32:11,HIB00030378,2018 Regular Session,HI,,RELATING TO CLIMATE CHANGE.,bill,2018-02-09 10:32:22
8,SB 7,upper,2018-02-08 05:11:46,CTB00017205,2018,CT,Environmental; Municipal and County Issues; Executive Branch; Legislative Affairs,AN ACT CONCERNING CLIMATE CHANGE PLANNING AND RESILIENCY.,bill,2018-02-13 14:46:32
9,SB 898,upper,2018-02-07 05:57:30,MDB00030963,2018,MD,Commerce; Government Reform; Environmental; Senior Issues; Labor and Employment; Other; Technology and Communication,Maryland Pension Climate Change Risk Act,bill,2018-02-14 06:31:26
10,SB 2458,upper,2018-02-08 17:03:21,HIB00034581,2018 Regular Session,HI,Transportation,RELATING TO CLIMATE CHANGE.,bill,2018-02-08 17:03:21
11,A 2417,lower,2018-02-03 04:05:11,NJB00047588,218,NJ,Environmental; State Agencies,"Creates ""Coastal Climate Change Commission.""",bill,2018-02-03 04:05:11
12,AR 96,lower,2018-02-03 04:05:28,NJB00048350,218,NJ,Energy; Executive Branch,Urges Governor and AG to pursue legal action against fossil fuel companies for harms caused by climate change.,resolution,2018-02-03 04:05:28
13,AB 1281,upper,2017-08-23 08:16:35,CAB00024486,20172018,CA,,State parks: climate change: study.,bill,2018-02-14 08:40:24
14,SB 18-117,upper,2018-01-30 07:12:08,COB00005444,2018A,CO,,Collect Long-term Climate Change Data,bill,2018-02-13 15:08:05
15,SB 2965,upper,2018-02-08 17:02:35,HIB00031075,2018 Regular Session,HI,,RELATING TO THE HAWAII CLIMATE CHANGE MITIGATION AND ADAPTION INITIATIVE.,bill,2018-02-08 17:02:35
16,HCR 31,lower,2018-01-25 07:03:54,IDB00004407,2018,ID,Environmental; Resolutions; Other; Education; Legislative Affairs,CLIMATE CHANGE STUDY COMMITTEE â€“ Stating findings of the Legislature and authorizing the Legislative Council to appoint a committee to undertake and complete a study of climate change and its impact on Idaho.,concurrent resolution,2018-01-30 07:04:16
17,SCM 1004,upper,2018-02-02 08:20:47,AZB00013009,53rd-2nd-regular,AZ,,climate change,concurrent memorial,2018-02-02 08:20:47
18,HB 1394,lower,2018-01-17 07:24:05,MOB00013043,2018,MO,Environmental,Requires the Department of Natural Resources to implement regulations that comply with the United Nations Framework Convention on Climate Change Paris Agreement,bill,2018-01-17 07:24:05
19,A 3478,lower,2017-01-28 06:08:44,NYB00099783,2017-2018,NY,,Establishes the New York state climate change task force,bill,2018-01-04 05:26:50
20,S 3682,upper,2017-01-26 05:59:49,NYB00099213,2017-2018,NY,,Establishes the New York state climate change task force,bill,2018-01-04 05:26:25
21,S 2056,upper,2017-01-22 06:31:39,MAB00022757,190th,MA,,"An Act enabling taxpayer donations to the Least Developed Countries Fund, an initiative of the U.N. Framework Convention on Climate Change",bill,2017-12-08 10:04:13
22,S 2232,upper,2017-12-09 08:21:02,MAB00027362,190th,MA,,"An Act enabling taxpayer donations to the Least Developed Countries Fund, an initiative of the U.N. Framework Convention on Climate Change",bill,2018-02-14 10:43:00
23,PR 22-0356,upper,2017-06-09 05:23:24,DCB00009403,22,DC,,Sense of the Council Regarding the Paris Agreement on Climate Change Resolution of 2017,bill,2017-12-12 05:46:25
24,A 5259,lower,2017-12-05 04:11:15,NJB00043559,217,NJ,Environmental; State Agencies,"Creates ""Coastal Climate Change Commission.""",bill,2017-12-06 04:11:17
25,S 2196,upper,2017-10-31 10:17:16,MAB00027210,190th,MA,,An Act providing for the establishment of a comprehensive adaptation management plan in response to climate change,bill,2018-02-14 10:43:20
26,S 472,upper,2017-01-18 05:27:27,MAB00021232,190th,MA,,An Act providing for the establishment of a comprehensive adaptation management plan in response to climate change,bill,2018-02-14 10:42:57
27,SB 51,upper,2017-01-02 08:01:39,CAB00019850,20172018,CA,,Professional licensees: environmental sciences and climate change: whistleblower and data protection.,bill,2018-02-14 08:39:33
28,AB 733,lower,2017-02-16 08:02:10,CAB00021167,20172018,CA,,Enhanced infrastructure financing districts: projects: climate change.,bill,2017-10-15 08:13:44
29,AB 733,upper,2017-07-13 08:10:24,CAB00022916,20172018,CA,,Enhanced infrastructure financing districts: projects: climate change.,bill,2018-02-14 08:39:42
30,AJR 20,lower,2017-06-09 08:09:45,CAB00022654,20172018,CA,Environmental,Relative to climate change.,joint resolution,2018-02-14 08:38:54
31,SB 51,lower,2017-08-23 08:16:42,CAB00024488,20172018,CA,,Professional licensees: environmental sciences and climate change: whistleblower and data protection.,bill,2017-09-14 08:19:50
32,AJR 20,upper,2017-09-13 08:20:17,CAB00024624,20172018,CA,Environmental,Relative to climate change.,joint resolution,2017-09-17 08:23:34
33,HB 295,lower,2017-07-25 05:24:56,TXB00059034,851,TX,Environmental; State Agencies,Relating to establishing the Texas Climate Change Mitigation and Adaptation Commission to study and address the impacts of climate change in this state.,bill,2017-07-26 05:25:02
34,SB 108,upper,2017-02-02 06:07:30,RIB00012626,2017,RI,Environmental; State Agencies,AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- RESILIENT RHODE ISLAND ACT OF 2014 - CLIMATE CHANGE COORDINATING COUNCIL (Directs the climate change coordinating council to study a carbon pricing program.),bill,2017-12-30 05:40:56
35,ACA 1,lower,2017-01-02 08:01:39,CAB00019863,20172018,CA,,"A resolution to propose to the people of the State of California an amendment to the Constitution of the State, by adding Section 24 to Article XX thereof, relating to climate change.",constitutional amendment,2018-02-14 08:40:29
36,HB 6305,lower,2017-06-09 06:18:34,RIB00014447,2017,RI,State Agencies,AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- RESILIENT RHODE ISLAND ACT OF 2014 - CLIMATE CHANGE COORDINATING COUNCIL (Directs the climate change coordinating council to study a carbon pricing program.),bill,2017-12-30 05:40:51
37,SB 276,upper,2017-01-10 09:26:32,ORB00010327,2017 Regular Session,OR,,Relating to climate change impacts on ocean resources.,bill,2017-07-14 08:08:06
38,HR 15,lower,2017-07-01 05:59:48,VTB00007162,2017-2018,VT,,House resolution strongly opposing the announced U.S. withdrawal from the Paris Climate Agreement of the United Nations Framework Convention on Climate Change and recognizing Governor Philip Scott's enrolling Vermont in the U.S. Climate Alliance,resolution,2017-08-03 05:59:19
39,SR 10,upper,2017-07-01 05:59:50,VTB00007165,2017-2018,VT,,Senate resolution strongly opposing the U.S. withdrawal from the Paris Agreement of the United Nations Framework Convention on Climate Change and recognizing Governor Philip Scott's enrolling Vermont in the U.S. Climate Alliance,resolution,2017-07-01 05:59:50
40,H 2147,lower,2017-03-09 08:27:50,MAB00025491,190th,MA,,An Act providing for the establishment of a comprehensive adaptation management plan in response to climate change,bill,2017-06-18 09:46:48
41,HB 1578,lower,2017-01-26 09:55:44,HIB00028932,2017 Regular Session,HI,,RELATING TO CLIMATE CHANGE.,bill,2017-12-22 10:07:57
42,SB 559,upper,2017-01-25 09:49:50,HIB00027578,2017 Regular Session,HI,,RELATING TO CLIMATE CHANGE.,bill,2017-12-22 10:07:52
43,SP 587,upper,2017-06-08 07:04:45,MEB00010035,128,ME,,"Joint Order, Directing The Joint Standing Committee On Environment And Natural Resources To Report Out A Bill Regarding The Paris Agreement On Climate Change",joint resolution,2017-06-09 07:04:54
44,LD 771,lower,2017-03-02 05:34:29,MEB00009146,128,ME,Civil Liberties and Civil Rights,An Act To Protect Political Speech And Prevent Climate Change Policy Profiling,bill,2017-06-07 06:37:24
45,AB 346,lower,2017-05-24 06:22:18,WIB00008381,2017 Regular Session,WI,,Relating to: the Wisconsin Natural Resources Magazine and the publication of information about climate change by the Department of Natural Resources. (FE),bill,2018-01-22 06:41:15
46,AB 1301,lower,2017-02-18 08:03:20,CAB00022049,20172018,CA,,Joint Legislative Committee on Climate Change Policies.,bill,2018-02-14 08:40:33
47,AB 1301,upper,2017-09-14 08:19:17,CAB00024629,20172018,CA,,Joint Legislative Committee on Climate Change Policies.,bill,2017-09-17 08:22:50
48,SCR 78,upper,2017-03-09 09:59:57,HIB00029431,2017 Regular Session,HI,,"ENDORSING TAIWAN'S PARTICIPATION AS AN OBSERVER IN THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE, INTERNATIONAL CIVIL AVIATION ORGANIZATION, WORLD HEALTH ORGANIZATION, AND INTERNATIONAL CRIMINAL POLICE ORGANIZATION AND SUPPORTING THE 24TH ANNIVERSARY OF SISTER-STATE RELATIONS BETWEEN HAWAII AND TAIWAN.",concurrent resolution,2017-12-22 10:07:21
49,AB 1281,lower,2017-02-18 08:03:16,CAB00021743,20172018,CA,,State parks: climate change: study.,bill,2017-10-15 08:13:48
50,SB 442,upper,2017-03-03 06:09:34,RIB00013445,2017,RI,Environmental; Transportation; Municipal and County Issues,AN ACT RELATING TO WATERS AND NAVIGATION - THE CLIMATE CHANGE COASTAL ADAPTATION TRUST FUND (Establishes the RI coastal adaptation trust fund which would enable cities and towns and the state to apply for grants to fund projects that invest in measures that adapt infrastructure on public lands to address the impacts of climate change.),bill,2017-12-31 05:41:13
51,SB 262,upper,2017-02-09 08:01:54,CAB00020522,20172018,CA,,Climate change: climate adaptation: advisory council.,bill,2017-10-15 08:13:40
52,SB 262,lower,2017-07-13 08:10:06,CAB00022698,20172018,CA,,Climate change: climate adaptation: advisory council.,bill,2018-02-14 08:39:56
53,HB 173,lower,2017-03-11 08:19:16,AKB00002487,30,AK,Recreation; Government Reform; Legal Issues; Energy; Executive Branch; Guns; Environmental; Other; Technology and Communication; State Agencies; Education; Business and Consumers; Animal Rights and Wildlife Issues; Science and Medical Research,An Act establishing the Alaska Climate Change Response Commission; relating to the powers and duties of the Alaska Climate Change Response Commission; establishing the climate change response fund; and relating to the surcharge on oil produced in the state.,bill,2017-05-31 08:29:29
54,S 453,upper,2017-01-22 06:31:38,MAB00022725,190th,MA,,"Resolve to review, consider, and evaluate, and to establish a suitable body and/or Special Commission to consider Climate Change Economic Consequences",bill,2017-06-18 09:46:40
55,HCR 113,lower,2017-03-10 10:01:33,HIB00029454,2017 Regular Session,HI,Environmental; Energy,"CALLING ON THE FEDERAL GOVERNMENT AND STATES TO LOWER COSTS FOR CONSUMERS, CREATE MORE JOBS, AND REDUCE THE IMPACTS OF CLIMATE CHANGE ON THE ECONOMY BY REPLACING FOSSIL FUELS WITH RENEWABLE ENERGY.",concurrent resolution,2017-12-22 10:07:58
56,SD 2138,upper,2017-03-30 09:43:55,MAB00026383,190th,MA,,"An Act enabling taxpayer donations to the Least Developed Countries Fund, an initiative of the U.N. Framework Convention on Climate Change",bill,2017-04-28 10:14:39
57,HB 5808,lower,2017-03-02 06:09:26,RIB00013306,2017,RI,Environmental; Transportation; Municipal and County Issues,AN ACT RELATING TO WATERS AND NAVIGATION - THE CLIMATE CHANGE COASTAL ADAPTATION TRUST FUND (Establishes the RI coastal adaptation trust fund which would enable cities and towns and the state to apply for grants to fund projects that invest in measures that adapt infrastructure on public lands to address the impacts of climate change.),bill,2017-12-31 05:41:14
58,S 1561,upper,2017-01-21 06:40:53,MAB00022190,190th,MA,,An Act relative to Stormwater Management and Climate Change Adaptation Incentives,bill,2017-06-18 09:47:00
59,HCR 127,lower,2017-04-18 09:12:02,TXB00056803,85,TX,Environmental; Resolutions; Legislative Affairs,Urging the United States Congress to conduct a cost-benefit analysis regarding the risks of climate change and appropriate measures to address them.,concurrent resolution,2017-06-05 10:27:51
60,HCR 59,lower,2017-02-23 10:17:13,HIB00029337,2017 Regular Session,HI,,URGING THE BOARD OF EDUCATION TO CREATE GUIDELINES FOR INCORPORATION OF CLIMATE CHANGE EDUCATION INTO THE CURRICULUM OF HAWAII'S PUBLIC SCHOOLS.,concurrent resolution,2017-12-22 10:07:46
61,HR 30,lower,2017-02-23 10:17:12,HIB00029335,2017 Regular Session,HI,,URGING THE BOARD OF EDUCATION TO CREATE GUIDELINES FOR INCORPORATION OF CLIMATE CHANGE EDUCATION INTO THE CURRICULUM OF HAWAII'S PUBLIC SCHOOLS.,resolution,2017-12-22 10:07:44
62,HR 67,lower,2017-03-10 10:01:39,HIB00029478,2017 Regular Session,HI,Environmental; Energy,"CALLING ON THE FEDERAL GOVERNMENT AND STATES TO LOWER COSTS FOR CONSUMERS, CREATE MORE JOBS, AND REDUCE THE IMPACTS OF CLIMATE CHANGE ON THE ECONOMY BY REPLACING FOSSIL FUELS WITH RENEWABLE ENERGY.",resolution,2017-12-22 10:07:21
63,PR 22-0261,upper,2017-04-14 05:16:37,DCB00009056,22,DC,,Sense of the Council Reaffirming the District's Commitment to Climate Change Action Resolution of 2017,bill,2017-05-21 05:21:30
64,HB 775,lower,2017-01-27 07:00:36,ILB00094946,100th,IL,,PEN CD-CLIMATE CHANGE POLICY,bill,2017-06-06 14:16:34
65,HCR 203,lower,2017-03-11 10:08:49,HIB00029685,2017 Regular Session,HI,Environmental,"URGING THE OFFICE OF ENVIRONMENTAL QUALITY CONTROL, IN COOPERATION WITH THE DEPARTMENT OF THE ATTORNEY GENERAL AND THE LEGISLATIVE REFERENCE BUREAU, TO PREPARE ENVIRONMENTAL AND LEGAL OPINIONS OF FUTURE STATE REGULATIONS AND LEGISLATION THAT MIGHT BE DEEMED NECESSARY TO COMBAT CLIMATE CHANGE AND PREVENT THE REGRESSION OF ENVIRONMENTAL PROTECTION.",concurrent resolution,2017-12-22 10:07:29
66,HR 131,lower,2017-03-11 10:08:47,HIB00029656,2017 Regular Session,HI,Environmental,"URGING THE OFFICE OF ENVIRONMENTAL QUALITY CONTROL, IN COOPERATION WITH THE DEPARTMENT OF THE ATTORNEY GENERAL AND THE LEGISLATIVE REFERENCE BUREAU, TO PREPARE ENVIRONMENTAL AND LEGAL OPINIONS OF FUTURE STATE REGULATIONS AND LEGISLATION THAT MIGHT BE DEEMED NECESSARY TO COMBAT CLIMATE CHANGE AND PREVENT THE REGRESSION OF ENVIRONMENTAL PROTECTION.",resolution,2017-12-22 10:07:27
67,S 32,upper,2017-01-14 05:09:23,VTB00006308,2017-2018,VT,,An act relating to climate change considerations in State procurement,bill,2017-12-14 06:06:44
68,HF 2472,lower,2017-03-21 10:06:46,MNB00033024,2017-2018,MN,"Federal, State, and Local Relations",Climate change impact report on fossil fuel investments currently held by the State Board of Investment required.,bill,2017-05-21 10:30:34
69,SCR 70,upper,2017-03-07 10:04:09,HIB00029394,2017 Regular Session,HI,,URGING THE STATE TO ABIDE BY THE STANDARDS ADOPTED IN THE PARIS AGREEMENT ON CLIMATE CHANGE.,concurrent resolution,2017-12-22 10:07:31
70,SF 2085,upper,2017-03-11 09:52:27,MNB00032688,2017-2018,MN,Commerce; Environmental; Energy; Labor and Employment; Other; State Agencies,State board of investment report on impact of climate change on current fossil fuel investments requirement,bill,2017-05-21 10:30:43
71,SJR 9,upper,2017-02-01 08:22:42,UTB00005791,2017,UT,Environmental; Resolutions,Joint Resolution on Climate Change,joint resolution,2017-06-13 09:43:07
72,HF 2262,lower,2017-03-09 09:57:49,MNB00032592,2017-2018,MN,Environmental; State Agencies,Climate change consideration in environmental impact statements required.,bill,2017-05-21 10:30:41
73,HB 420,lower,2016-12-28 00:23:52,TXB00048027,85,TX,Environmental; Legal Issues; Crime,Relating to the admissibility of certain evidence relating to climate change or global warming in certain criminal cases.,bill,2017-06-05 10:28:48
74,S 410,upper,2017-02-19 06:38:04,SCB00012907,2017-2018,SC,Resolutions,"A SENATE RESOLUTION TO COMMEND AND SUPPORT THE DEMOCRATIZATION EFFORTS OF THE REPUBLIC OF CHINA (TAIWAN) AND THE NATION'S MEANINGFUL PARTICIPATION IN THE WORLD HEALTH ORGANIZATION, THE INTERNATIONAL CIVIL AVIATION ORGANIZATION, AND THE UN FRAMEWORK CONVENTION ON CLIMATE CHANGE, AS WELL AS OTHER INTERNATIONAL ORGANIZATIONS, AND TO EXTEND SINCERE BEST WISHES FOR CONTINUED COOPERATION AND SUCCESS.",resolution,2017-05-21 06:38:41
75,H 3539,lower,2017-01-26 05:17:42,SCB00012568,2017-2018,SC,,"A HOUSE RESOLUTION TO COMMEND AND SUPPORT THE DEMOCRATIZATION EFFORTS OF THE REPUBLIC OF CHINA (TAIWAN) AND THE NATION'S MEANINGFUL PARTICIPATION IN THE WORLD HEALTH ORGANIZATION, THE INTERNATIONAL CIVIL AVIATION ORGANIZATION, AND THE UN FRAMEWORK CONVENTION ON CLIMATE CHANGE, AS WELL AS OTHER INTERNATIONAL ORGANIZATIONS, AND TO EXTEND SINCERE BEST WISHES FOR CONTINUED COOPERATION AND SUCCESS.",resolution,2017-05-21 06:38:40
76,AB 2800,lower,2016-02-20 08:27:02,CAB00019339,20152016,CA,,Climate change: infrastructure planning.,bill; fiscal committee,2016-12-30 19:58:04
77,AJR 43,lower,2016-06-07 07:12:22,CAB00019744,20152016,CA,,Greenhouse gases: climate change.,joint resolution,2016-09-19 07:14:27
78,HR 8267,lower,2016-05-28 04:06:22,RIB00012010,2016,RI,Resolutions,"HOUSE RESOLUTION RESPECTFULLY REQUESTING THE EXECUTIVE CLIMATE CHANGE COORDINATING COUNCIL (EC4) TO CREATE A TASK FORCE TO STUDY THE FEASIBILITY AND FISCAL RAMIFICATIONS, AND MAKE RECOMMENDATIONS FOR IMPLEMENTING A FLOOD AUDIT PROGRAM",resolution,2016-06-15 04:06:28
79,SB 2955,upper,2016-05-12 04:57:49,RIB00011828,2016,RI,State Agencies,AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- RESILIENT RHODE ISLAND ACT OF 2014 - CLIMATE CHANGE COORDINATING COUNCIL (Directs the climate change coordinating council to study a carbon pricing program.),bill,2016-05-27 04:07:14
80,HB 2684,lower,2016-02-09 07:58:28,AZB00010959,52nd-2nd-regular,AZ,,climate change; study committee,bill,2016-05-06 07:38:49
81,HCR 123,lower,2016-03-12 11:57:39,HIB00026221,2016 Regular Session,HI,,"ENDORSING TAIWAN'S PARTICIPATION AS AN OBSERVER IN THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE, INTERNATIONAL CIVIL AVIATION ORGANIZATION, WORLD HEALTH ORGANIZATION, AND INTERNATIONAL CRIMINAL POLICE ORGANIZATION AND SUPPORTING THE STATE OF HAWAII'S TWENTY-THIRD ANNIVERSARY OF SISTER-STATE RELATIONS WITH TAIWAN.",concurrent resolution,2016-04-29 11:47:07
82,LR 455,upper,2016-02-27 06:30:16,NEB00005379,104,NE,,Provide the Executive Board of the Legislative Council appoint a special committee to examine issues related to the impacts of climate change on the State of Nebraska,resolution,2016-05-12 05:09:04
83,HF 3900,lower,2016-04-15 10:03:50,MNB00028018,2015-2016,MN,,State Board of Investment required to develop climate change risk management strategies.,bill,2016-04-15 10:03:50
84,AJR 74,lower,2015-10-23 05:37:15,WIB00006479,2015 Regular Session,WI,,"Relating to: acknowledging the environmental, economic, and social threat of climate change due to human activity and the need to address it at the state level.",joint resolution,2016-04-15 06:23:38
85,SJR 62,upper,2015-10-17 05:35:17,WIB00006459,2015 Regular Session,WI,,"Relating to: renewing Wisconsin's land ethic and reviving our heritage as a leader and pioneer in environmental policy and sustainability, with a focus on taking action to integrate solutions to carbon pollution and climate change into the activities and businesses of our fellow citizens.",joint resolution,2016-04-15 06:29:57
86,S 1979,upper,2015-07-25 02:37:24,MAB00019279,189th,MA,,An Act providing for the establishment of a comprehensive adaptation management plan in response to climate change,bill,2016-07-19 08:05:49
87,HB 5579,lower,2016-03-03 05:19:59,CTB00013233,2016,CT,Legislative Affairs; Environmental; Energy; Labor and Employment; Other; Housing and Property; State Agencies; Education,AN ACT CONCERNING THE GOVERNOR'S COUNCIL ON CLIMATE CHANGE.,bill,2016-04-12 04:22:36
