,bill_id,chamber,created_at,id,session,state,subjects,title,type,updated_at
174,H 3461,lower,2013-01-31 01:21:29,SCB00004846,2013-2014,SC,,"A HOUSE RESOLUTION TO COMMEND AND SUPPORT THE TAIWAN'S DEMOCRATIC SYSTEM OF GOVERNMENT, ITS CLOSE RELATIONSHIP WITH THE UNITED STATES, AND THE NATION'S MEANINGFUL PARTICIPATION IN THE WORLD HEALTH ORGANIZATION, THE INTERNATIONAL CIVIL AVIATION ORGANIZATION, AND THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE, AS WELL AS OTHER INTERNATIONAL ORGANIZATIONS.",resolution,2013-02-06 01:35:00
175,SB 6013,upper,2011-12-16 05:14:33,WAB00002639,2011-2012,WA,Environmental; State Agencies; Commerce,Concerning the state integrated climate change response strategy.,bill,2012-10-18 06:57:59
176,SB 1066,upper,2012-02-15 01:50:49,CAB00008154,20112012,CA,,Coastal resources: climate change.,bill; fiscal committee,2012-10-11 14:08:42
177,SCR 162,upper,2011-05-04 16:48:26,HIB00001833,2011 Regular Session,HI,,"URGING HAWAII'S CONGRESSIONAL DELEGATION TO REQUEST THAT THE DIRECTOR OF THE OFFICE OF GLOBAL CHANGE OF THE UNITED STATES DEPARTMENT OF STATE PROPOSE TO THE CONFERENCE OF PARTIES FOR THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE THAT THE UNITED STATES HOST THE 2015 UNITED NATIONS CLIMATE CHANGE CONFERENCE IN HONOLULU, HAWAII.",concurrent resolution,2012-10-18 02:22:59
178,SCR 73,upper,2011-05-04 16:48:25,HIB00001744,2011 Regular Session,HI,,URGING THE UNITED NATIONS TO GRANT TAIWAN PARTICIPATION AS AN OBSERVER IN THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE CONFERENCE OF THE PARTIES.,concurrent resolution,2012-10-18 02:22:58
179,SR 32,upper,2011-05-04 16:48:24,HIB00001591,2011 Regular Session,HI,,URGING THE UNITED NATIONS TO GRANT TAIWAN PARTICIPATION AS AN OBSERVER IN THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE CONFERENCE OF THE PARTIES MEETINGS.,resolution,2012-10-18 02:22:59
180,HCR 59,lower,2011-05-04 16:48:39,HIB00003876,2011 Regular Session,HI,,URGING THE UNITED NATIONS TO GRANT TAIWAN PARTICIPATION AS AN OBSERVER IN THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE CONFERENCE OF THE PARTIES.,concurrent resolution,2012-08-28 02:44:02
181,HB 1187,lower,2011-02-25 17:48:54,WAB00001106,2011-2012,WA,Environmental; State Agencies,Creating the climate change accountability act.,bill,2012-10-18 06:58:27
182,HJM 4009,lower,2011-02-25 17:48:58,WAB00001953,2011-2012,WA,,Supporting the participation of Taiwan as an observer in the United Nations framework convention on climate change and in the international civil aviation organization.,joint memorial,2012-10-18 06:58:34
183,SJM 8005,upper,2011-02-25 17:48:53,WAB00000868,2011-2012,WA,,Supporting the participation of Taiwan as an observer in the United Nations framework convention on climate change and in the international civil aviation organization.,joint memorial,2012-11-02 06:43:56
184,HR 38,lower,2011-05-04 16:48:38,HIB00003552,2011 Regular Session,HI,,URGING THE UNITED NATIONS TO GRANT TAIWAN PARTICIPATION AS AN OBSERVER IN THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE CONFERENCE OF THE PARTIES.,resolution,2012-08-28 02:44:06
185,HR 11,lower,2012-03-22 01:38:36,LAB00007978,2012,LA,Resolutions,Commends Taiwan's participation as an observer in the International Civil Aviation Organization and the United Nations Framework Convention on Climate Change,resolution,2012-08-22 04:31:26
186,H 5014,lower,2012-03-20 23:00:32,SCB00003356,119,SC,,"A HOUSE RESOLUTION TO COMMEND AND SUPPORT THE DEMOCRATIZATION EFFORTS OF TAIWAN AND THE NATION'S MEANINGFUL PARTICIPATION IN THE WORLD HEALTH ORGANIZATION, THE INTERNATIONAL CIVIL AVIATION ORGANIZATION, AND THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE, AS WELL AS OTHER INTERNATIONAL ORGANIZATIONS.",resolution,2012-09-14 05:08:50
187,S 1344,upper,2012-03-20 23:00:20,SCB00003323,119,SC,Resolutions,"A SENATE RESOLUTION TO COMMEND AND SUPPORT THE DEMOCRATIZATION EFFORTS OF TAIWAN AND THE NATION'S MEANINGFUL PARTICIPATION IN THE WORLD HEALTH ORGANIZATION, THE INTERNATIONAL CIVIL AVIATION ORGANIZATION, AND THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE, AS WELL AS OTHER INTERNATIONAL ORGANIZATIONS.",resolution,2012-08-22 06:07:11
188,SR 1,upper,2012-02-15 02:43:07,ARB00002661,2012F,AR,,A RESOLUTION TO SUPPORT THE RELATIONSHIP BETWEEN TAIWAN AND ARKANSAS AND TO SUPPORT TAIWAN'S PARTICIPATION IN THE U.S. VISA WAIVER PROGRAM AND THE INT'L CIVIL AVIATION ORGANIZATION AND U.N. FRAMEWORK CONVENTION ON CLIMATE CHANGE.,resolution,2012-08-22 02:55:56
189,SB 2021,upper,2012-02-09 20:53:40,HIB00005349,2011 Regular Session,HI,Environmental; Other,RELATING TO THE CLIMATE CHANGE TASK FORCE.,bill,2012-08-28 02:42:30
190,S 6456,upper,2012-02-11 06:27:00,NYB00022225,2011-2012,NY,Environmental,Establishes the New York state climate change task force,bill,2012-10-16 17:59:47
191,HB 2330,lower,2012-02-09 20:54:19,HIB00007066,2011 Regular Session,HI,Other,RELATING TO CLIMATE CHANGE.,bill,2012-08-28 02:43:44
192,SR 23,upper,2012-01-12 22:01:37,NJB00016576,215,NJ,Education,Urges New Jersey colleges and universities to sign climate change initiative.,resolution,2013-03-14 01:30:22
193,A 1391,lower,2011-05-05 01:29:54,NYB00008657,2011-2012,NY,Environmental,Establishes the New York state climate change task force,bill,2012-10-16 18:11:15
194,A 1646,lower,2011-05-05 01:29:55,NYB00008924,2011-2012,NY,Environmental,Establishes the climate change solutions fund,bill,2012-10-16 18:07:13
195,S 1969,upper,2011-05-05 01:29:23,NYB00002032,2011-2012,NY,Environmental,Establishes the climate change solutions fund,bill,2012-10-16 18:02:58
196,S 896,upper,2011-05-05 01:29:18,NYB00000921,2011-2012,NY,Environmental,Enacts the climate change solutions program act,bill,2012-10-16 18:03:48
197,S 170,upper,2011-12-15 02:45:17,VTB00002029,2011-2012,VT,,"AN ACT RELATING TO A RENEWABLE PORTFOLIO STANDARD, THE SUSTAINABLY PRICED ENERGY ENTERPRISE DEVELOPMENT PROGRAM, AND CLIMATE CHANGE",bill,2012-09-20 02:09:19
198,HF 341,lower,2011-09-13 01:17:06,IAB00000943,2011-2012,IA,,"A bill for an act modifying the repeal date for the climate change advisory
council, deleting related provisions, and including effective date
provisions. (Formerly HF 99)",bill,2012-09-20 03:16:59
199,HF 99,lower,2011-09-13 01:17:09,IAB00001185,2011-2012,IA,Environmental; Other,"A bill for an act modifying the repeal date for the climate change advisory
council, deleting related provisions, and including effective date
provisions. (See Cmte. Bill HF 341)",bill,2012-08-22 03:01:37
200,SB 80,upper,2011-05-04 16:48:15,HIB00000080,2011 Regular Session,HI,Environmental; Other,RELATING TO THE CLIMATE CHANGE TASK FORCE.,bill,2012-08-30 02:39:33
201,HR 930,lower,2011-03-18 09:02:29,TXB00019894,82,TX,Other; Legislative Affairs,Endorsing Taiwan's participation as an observer in the International Civil Aviation Organization and the United Nations Framework Convention on Climate Change.,resolution,2012-07-10 03:45:19
202,SC 504,upper,2011-01-07 23:03:49,MSB00003811,2011,MS,,Urge Congress to adopt legislation addressing clean energy development and climate change.,concurrent resolution,2011-09-29 01:47:29
203,HCR 3028,lower,2011-11-28 22:24:34,NDB00000910,62,ND,"Environmental; Resolutions; Federal, State, and Local Relations","A concurrent resolution urging Congress to adopt legislation prohibiting the Environmental Protection Agency by any legal means from regulating greenhouse emissions, including, if necessary, defunding Environmental Protection Agency greenhouse gas regulatory activities; imposing a moratorium on adoption on any new air quality regulations by the Environmental Protection Agency by any legal means, except those regulations directly addressing an imminent health or environmental emergency, for a period of at least two years; and requiring the administration to undertake a study identifying all regulatory activity the Environmental Protection Agency intends to undertake in furtherance of its goal of ""taking action on climate change and improving air quality"" and specifying the cumulative effect of all these regulations on the economy, jobs, and American economic competitiveness.",concurrent resolution,2012-08-30 01:52:16
204,HCR 1007,lower,2011-02-17 02:33:05,SDB00001636,2011,SD,Legislative Affairs,Endorsing Taiwan's participation as observer in the International Civil Aviation Organization and United Nations Framework Convention on Climate Change.,concurrent resolution,2011-04-26 05:49:52
205,SB 766,upper,2011-02-09 00:27:32,MDB00011927,2011,MD,"Environmental; Other; Federal, State, and Local Relations; Budget, Spending, and Taxes; Transportation; Health; Government Reform",Snowstorm and Related Climate Change Preparation Act,bill,2011-04-26 01:19:36
206,HR 6,lower,2011-05-09 15:04:23,VTB00001735,2011-2012,VT,,HOUSE RESOLUTION URGING ACTION ON CLIMATE CHANGE-RELATED POLICIES,resolution,2012-09-20 02:11:00
207,SJR 21,upper,2012-09-07 22:41:24,ILB00055389,96th,IL,,ADDRESS CLIMATE CHANGE,joint resolution,2012-09-07 22:41:24
208,AR 87,lower,2010-11-29 19:07:13,NJB00003650,214,NJ,Technology and Communication,Supports participation of Republic of China (Taiwan) as observer in United Nations Framework Convention on Climate Change (UNFCCC) and in International Civil Aviation Organization (ICAO).,resolution,2013-08-28 15:31:46
209,SR 96,upper,2010-12-15 19:49:01,NJB00006552,214,NJ,Education,Urges New Jersey colleges and universities to sign climate change initiative.,resolution,2013-08-28 15:35:05
210,AB 1405,lower,2010-07-09 17:25:55,CAB00002170,20092010,CA,,"An act to add Part 5 (commencing with Section 71420) to Division 34 of the Public Resources Code, relating to climate change.",bill; fiscal committee,2012-04-06 17:17:03
211,AR 109,lower,2010-11-29 19:07:13,NJB00003672,214,NJ,Education,Urges New Jersey colleges and universities to sign climate change initiative.,resolution,2013-08-28 15:35:32
212,AJR 26,lower,2010-08-10 20:01:04,CAB00005103,20092010,CA,Environmental,Relative to climate change.,joint resolution,2012-04-06 17:17:45
213,SCR 110,upper,2010-08-10 21:16:43,LAB00003667,2010,LA,Environmental,Continues the Louisiana Climate Change Policy Commission.,concurrent resolution,2010-11-17 23:14:18
214,HB 1803,lower,2010-12-02 22:39:08,NCB00003266,2009,NC,,Review NC Programs for Climate Change Impacts,bill,2012-04-03 20:09:19
215,HR 748,lower,2010-07-23 05:39:10,PAB00005168,2009-2010,PA,,A Resolution supporting the participation of the Republic of China (Taiwan) as an observer in the United Nations Framework Convention on Climate Change and in the International Civil Aviation Organization.,resolution,2013-03-08 10:28:45
216,HB 1805,lower,2010-12-02 22:39:08,NCB00003268,2009,NC,,Funds to Assess/Monitor NC Climate Change.,bill,2012-04-03 20:09:20
217,HB 1806,lower,2010-12-02 22:39:08,NCB00003269,2009,NC,,Establish NC Commission on Climate Change.,bill,2012-04-03 20:09:21
218,HB 1808,lower,2010-12-02 22:39:08,NCB00003271,2009,NC,,NC Climate Change Adaptation Strategy.,bill,2012-04-03 20:09:21
219,HR 1807,lower,2010-12-02 22:39:08,NCB00003270,2009,NC,,Support Federal Climate Change Legislation.,resolution,2012-04-03 20:09:21
220,SB 1221,upper,2010-12-02 22:39:00,NCB00001221,2009,NC,,Establish NC Commission on Climate Change.,bill,2012-04-03 19:53:28
221,SB 1222,upper,2010-12-02 22:39:00,NCB00001222,2009,NC,,Funds to Assess/Monitor NC Climate Change.,bill,2012-04-03 19:53:29
222,SB 1223,upper,2010-12-02 22:39:00,NCB00001223,2009,NC,,NC Climate Change Adaptation Strategy.,bill,2012-04-03 19:53:29
223,AB 649,lower,2010-08-27 19:14:44,WIB00001460,2009 Regular Session,WI,,"goals for reductions in greenhouse gas emissions, for construction of zero net energy buildings and for energy conservation; information, analyses, reports, education, and training concerning greenhouse gas emissions and climate change; energy efficiency and renewable resource programs; renewable energy requirements of electric utilities and retail cooperatives; requiring electric utilities to purchase renewable energy from certain renewable facilities in their service territories; authority of the Public Service Commission over nuclear power plants; motor vehicle emission limitations; a low carbon standard for transportation fuels; the brownfield site assessment grant program, the main street program, the brownfields grant program, the forward innovation fund, grants to local governments for planning activities, the transportation facilities economic assistance and development program, a model parking ordinance; surface transportation planning by the Department of Transportation and metropolitan planning organizations to reduce greenhouse gas emissions; environmental evaluations for transportation projects; idling limits for certain vehicles; energy conservation codes for public buildings, places of employment, one- and two-family dwellings, and agricultural facilities; design standards for state buildings; energy efficiency standards for certain consumer audio and video devices, boiler inspection requirements; greenhouse gas emissions and energy use by certain state agencies and state assistance to school districts in achieving energy efficiencies; creating an exception to local levy limits for amounts spent on energy efficiency measures; creating an energy crop reserve program; identification of private forest land, promoting sequestration of carbon in forests, qualifying practices and cost-share requirements under the forest grant program established by the Department of Natural Resources; air pollution permits for certain stationary sources reducing greenhouse gas emissions; allocating a portion of existing tax-exempt industrial development revenue bonding to clean energy manufacturing facilities and renewable power generating facilities; requiring a report on certain programs to limit greenhouse gas emissions; granting rule-making authority; requiring the exercise of rule-making authority; and providing a penalty.",bill,2012-01-21 01:54:19
224,SB 450,upper,2010-08-27 19:14:37,WIB00000454,2009 Regular Session,WI,,"goals for reductions in greenhouse gas emissions, for construction of zero net energy buildings and for energy conservation; information, analyses, reports, education, and training concerning greenhouse gas emissions and climate change; energy efficiency and renewable resource programs; renewable energy requirements of electric utilities and retail cooperatives; requiring electric utilities to purchase renewable energy from certain renewable facilities in their service territories; authority of the Public Service Commission over nuclear power plants; motor vehicle emission limitations; a low carbon standard for transportation fuels; the brownfield site assessment grant program, the main street program, the brownfields grant program, the forward innovation fund, grants to local governments for planning activities, the transportation facilities economic assistance and development program, a model parking ordinance; surface transportation planning by the Department of Transportation and metropolitan planning organizations to reduce greenhouse gas emissions; environmental evaluations for transportation projects; idling limits for certain vehicles; energy conservation codes for public buildings, places of employment, one- and two-family dwellings, and agricultural facilities; design standards for state buildings; energy efficiency standards for certain consumer audio and video devices, boiler inspection requirements; greenhouse gas emissions and energy use by certain state agencies and state assistance to school districts in achieving energy efficiencies; creating an exception to local levy limits for amounts spent on energy efficiency measures; creating an energy crop reserve program; identification of private forest land, promoting sequestration of carbon in forests, qualifying practices and cost-share requirements under the forest grant program established by the Department of Natural Resources; air pollution permits for certain stationary sources reducing greenhouse gas emissions; allocating a portion of existing tax-exempt industrial development revenue bonding to clean energy manufacturing facilities and renewable power generating facilities; requiring a report on certain programs to limit greenhouse gas emissions; granting rule-making authority; requiring the exercise of rule-making authority; and providing a penalty.",bill,2012-01-21 01:54:07
225,SC 588,upper,2010-12-10 00:05:18,MSB00001302,2010,MS,,Urge Congress to adopt legislation addressing clean energy developemnt and climate change.,concurrent resolution,2011-01-12 03:15:20
226,HJ 13,lower,2010-08-27 22:54:55,MDB00002719,2010,MD,"Environmental; Other; Federal, State, and Local Relations; Health",Climate Change,joint resolution,2010-12-10 21:14:37
227,SB 1092,upper,2010-08-27 22:54:45,MDB00001092,2010,MD,"Environmental; Other; Federal, State, and Local Relations; Budget, Spending, and Taxes; Transportation; Health; Government Reform",Snowstorm and Related Climate Change Preparation Act,bill,2010-12-10 21:14:26
228,HCR 1011,lower,2010-07-31 03:35:04,SDB00000881,2010,SD,,Endorsing Taiwan's participation as observer in the International Civil Aviation Organization and United Nations Framework Convention on Climate Change.,bill,2011-02-08 03:47:07
229,HCM 2011,lower,2011-01-21 19:37:41,AZB00002678,49th-2nd-regular,AZ,,climate change,concurrent memorial,2011-01-21 19:37:41
230,SB 128,upper,2010-07-09 17:23:48,CAB00000313,20092010,CA,Environmental,"An act to add Division 25.6 (commencing with Section 38700) to the Health and Safety Code, relating to climate change.",bill; fiscal committee,2012-04-06 17:16:30
231,SB 835,upper,2010-12-02 22:38:59,NCB00000835,2009,NC,,Extend Climate Change Commission.,bill,2012-04-03 19:50:40
232,SR 91,upper,2010-11-23 22:23:07,LAB00004059,2009,LA,Environmental,"Memorializes Congress to address the issue of global climate change through the adoption of a fair and effective approach that safeguards American jobs, ensures affordable energy for  citizens, and maintains America's global competitiveness.",resolution,2010-12-01 03:55:49
233,HCR 93,lower,2010-11-23 22:23:16,LAB00004522,2009,LA,Environmental,Establishes the Louisiana Climate Change Policy Commission,concurrent resolution,2010-12-01 03:55:57
234,SB 829,upper,2010-07-23 05:35:34,PAB00000820,2009-2010,PA,,"An Act amending the act of July 9, 2008 (P.L.935, No.70), known as the Pennsylvania Climate Change Act, further providing for climate change action plan.",bill,2013-03-08 09:57:48
235,HB 1200,lower,2010-12-02 22:39:06,NCB00002663,2009,NC,,Extend Climate Change Commission.,bill,2012-04-03 20:04:55
236,HB 1205,lower,2010-12-02 22:39:06,NCB00002668,2009,NC,,Establish NC Commission on Climate Change.,bill,2012-04-03 20:04:56
237,SC 584,upper,2011-01-12 03:14:57,MSB00009227,2009,MS,,Urge United States Congress to address the federal/state responsibility regarding global climate change.,concurrent resolution,2011-01-12 03:14:57
238,SB 3176,upper,2011-01-12 03:14:56,MSB00009017,2009,MS,,Governor's Commission on Climate Change; establish.,bill,2011-01-12 03:14:56
239,HR 30,lower,2010-07-23 05:38:29,PAB00004457,2009-2010,PA,,"A Resolution urging the Governor to participate in the Regional Greenhouse Gas Initiative and sign the Memorandum of Understanding, which will allow the Commonwealth to join its neighbors in addressing the challenge of climate change while increasing energy efficiency investments and stimulating emerging clean energy technology markets.",resolution,2013-03-08 10:24:36
240,SB 9,upper,2012-09-07 21:17:04,ILB00038394,95th,IL,,ILLINOIS CLIMATE CHANGE ACT,bill,2012-09-07 21:17:04
241,SR 34,upper,2012-01-10 16:43:19,NJB00012403,213,NJ,Environmental; Resolutions,Memorializes EPA to provide funding to State to measure impact of climate change in NJ.,resolution,2012-01-10 16:43:19
242,AR 159,lower,2012-01-10 16:42:37,NJB00008966,213,NJ,Environmental; Resolutions,Memorializes EPA to provide funding to State to measure impact of climate change in NJ.,resolution,2012-01-10 16:42:37
243,A 1937,lower,2012-01-10 16:42:40,NJB00009180,213,NJ,Environmental; State Agencies,Establishes NJ Commission on Global Climate Change.,bill,2012-01-10 16:42:40
244,S 697,upper,2012-01-10 16:44:04,NJB00016104,213,NJ,Environmental; State Agencies,Establishes NJ Commission on Global Climate Change.,bill,2012-01-10 16:44:04
245,HP 973,lower,2014-09-26 21:51:37,MEB00004575,123,ME,,"Resolve, To Ensure the Success of Regional Climate Change Efforts",bill,2014-09-26 21:51:37
246,HB 703,lower,2010-12-10 21:13:41,MDB00004469,2007,MD,"Environmental; Other; Federal, State, and Local Relations; Health; Energy; Insurance",Maryland Commission on Climate Change and Clean Energy Alternatives,bill,2010-12-10 21:13:41
